method,mechanism,rate,incidents,incidents_with_evidence,evidence_mask_fraction,mrr_unconditional,mrr_conditional,hit1_unconditional,hit1_conditional,normalized_rank_unconditional,normalized_rank_conditional,worst_rank_fraction
qarca_original_train,point,0.5,375,375,1.0,0.8652123839568597,0.8652123839568597,0.7962666666666667,0.7962666666666667,0.02724321475625823,0.02724321475625823,0.009333333333333334
qarca_original_train,stream,0.1,375,375,1.0,0.8138002783034906,0.8138002783034906,0.7261333333333334,0.7261333333333334,0.057640368417209306,0.057640368417209306,0.016533333333333334
qarca_original_train,stream,0.3,375,375,0.9989333333333333,0.722888338979225,0.7232770100612294,0.6136,0.613925925925926,0.10387275498177123,0.10318880436448727,0.015733333333333335
qarca_original_train,stream,0.5,375,375,0.9893333333333333,0.6292630549362925,0.6332547820714184,0.5048,0.5079015873015873,0.1432978975510599,0.1362637238815921,0.01626666666666667
qarca_quality_only,burst,0.1,375,375,1.0,0.3154408503379431,0.3154408503379431,0.14053333333333334,0.14053333333333334,0.22497599573215146,0.22497599573215146,0.0
qarca_quality_only,burst,0.3,375,375,1.0,0.31156238040729517,0.31156238040729517,0.1384,0.1384,0.2268358562296302,0.2268358562296302,0.0018666666666666669
qarca_quality_only,burst,0.5,375,375,1.0,0.2816759127775984,0.2816759127775984,0.11013333333333335,0.11013333333333335,0.25229319172068637,0.25229319172068637,0.0013333333333333333
qarca_quality_only,incident,0.1,375,375,1.0,0.6057432914791345,0.6057432914791345,0.43466666666666665,0.43466666666666665,0.07540773120055422,0.07540773120055422,0.0
qarca_quality_only,incident,0.3,375,375,1.0,0.7624004501543974,0.7624004501543974,0.6472,0.6472,0.039492275038019053,0.039492275038019053,0.0
qarca_quality_only,incident,0.5,375,375,1.0,0.757619716496345,0.757619716496345,0.644,0.644,0.04298368222510291,0.04298368222510291,0.0
qarca_quality_only,none,0.0,375,375,1.0,0.27121572234918606,0.27121572234918606,0.15733333333333333,0.15733333333333333,0.3635164450293012,0.3635164450293012,0.0
qarca_quality_only,point,0.1,375,375,1.0,0.34555958736152426,0.34555958736152426,0.1821333333333333,0.1821333333333333,0.22370354904991985,0.22370354904991985,0.0
qarca_quality_only,point,0.3,375,375,1.0,0.3338279447090109,0.3338279447090109,0.16853333333333334,0.16853333333333334,0.22570036695786633,0.22570036695786633,0.0
qarca_quality_only,point,0.5,375,375,1.0,0.3249845582685737,0.3249845582685737,0.16,0.16,0.2296442177092946,0.2296442177092946,0.0
qarca_quality_only,stream,0.1,375,375,1.0,0.26454002413094585,0.26454002413094585,0.10160000000000001,0.10160000000000001,0.2715400873156357,0.2715400873156357,0.0
qarca_quality_only,stream,0.3,375,375,0.9989333333333333,0.25805625378191405,0.2582614570560062,0.08773333333333333,0.08785185185185185,0.2529880928560371,0.2523905619918395,0.0018666666666666669
qarca_quality_only,stream,0.5,375,375,0.9893333333333333,0.25313665258239626,0.2552400757788354,0.08,0.08092486772486773,0.2556964610368119,0.24919166282122934,0.010666666666666666
qarca_structural_only,burst,0.1,375,375,1.0,0.2296610155639241,0.2296610155639241,0.08,0.08,0.35204059334475385,0.35204059334475385,0.0
qarca_structural_only,burst,0.3,375,375,1.0,0.2296610155639241,0.2296610155639241,0.08,0.08,0.35204059334475385,0.35204059334475385,0.0
qarca_structural_only,burst,0.5,375,375,1.0,0.2296610155639241,0.2296610155639241,0.08,0.08,0.35204059334475385,0.35204059334475385,0.0
qarca_structural_only,incident,0.1,375,375,1.0,0.2296610155639241,0.2296610155639241,0.08,0.08,0.35204059334475385,0.35204059334475385,0.0
qarca_structural_only,incident,0.3,375,375,1.0,0.2296610155639241,0.2296610155639241,0.08,0.08,0.35204059334475385,0.35204059334475385,0.0
qarca_structural_only,incident,0.5,375,375,1.0,0.2296610155639241,0.2296610155639241,0.08,0.08,0.35204059334475385,0.35204059334475385,0.0
qarca_structural_only,none,0.0,375,375,1.0,0.2296610155639241,0.2296610155639241,0.08,0.08,0.35204059334475385,0.35204059334475385,0.0
qarca_structural_only,point,0.1,375,375,1.0,0.2296610155639241,0.2296610155639241,0.08,0.08,0.35204059334475385,0.35204059334475385,0.0
qarca_structural_only,point,0.3,375,375,1.0,0.2296610155639241,0.2296610155639241,0.08,0.08,0.35204059334475385,0.35204059334475385,0.0
