mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
point,0.5,qarca_original_train,375,0.8652123839568597,0.2642153496354816,0.9021333333333333,0.7962666666666667,0.9197333333333333,0.9674666666666667,0.02724321475625823,2442.8187366936822,0.5000000599789933,0.013644021986007868
point,0.5,qarca_quality_only,375,0.3249845582685737,0.25621323277866687,0.32976,0.16,0.3317333333333333,0.5,0.2296442177092946,2442.2814663461877,0.5000000599789933,0.013230794448396548
point,0.5,qarca_structural_only,375,0.2296610155639241,0.25747190120178276,0.23626666666666665,0.08,0.2613333333333333,0.4053333333333333,0.35204059334475385,2442.14370738538,0.5000000599789933,0.013295791806278214
stream,0.1,baro,375,0.5246289118399685,0.3570530592481929,0.5804266666666666,0.356,0.5957333333333333,0.7605333333333333,0.08443812012169634,376.55331442647923,0.10113845075817623,0.01843814069574215
stream,0.1,median_shift,375,0.5101456961856564,0.34979275683972755,0.5897066666666667,0.31573333333333337,0.6456,0.748,0.08474291404179951,104.10868594661976,0.10113845075817623,0.018063220291523272
stream,0.1,nsigma,375,0.756973685099074,0.2978913718559869,0.8390933333333334,0.6101333333333334,0.8842666666666668,0.9621333333333334,0.03378510490258193,314.02778802706547,0.10113845075817623,0.015383044295694908
stream,0.1,qarca,375,0.8853629126713014,0.23370720224810126,0.91872,0.8245333333333333,0.9351999999999999,0.9752,0.025503205972771188,517.0187031730699,0.10113845075817623,0.012068588029274997
stream,0.1,qarca_no_incident_train,375,0.8845065749150915,0.23731834019483827,0.9183466666666666,0.8234666666666667,0.9338666666666666,0.9768,0.02590408432147562,516.6488976271513,0.10113845075817623,0.012255066390989265
stream,0.1,qarca_no_quality,375,0.8859520540195758,0.23480026496303846,0.9152,0.8296000000000001,0.9314666666666667,0.9637333333333332,0.028712758942765062,516.4907793602285,0.10113845075817623,0.012125033545159158
stream,0.1,qarca_no_quality_original,375,0.861196468371022,0.25450039707006894,0.90064,0.7888000000000001,0.9165333333333333,0.972,0.029588528765920066,516.4375607998421,0.10113845075817623,0.013142343992740693
stream,0.1,qarca_original_train,375,0.8138002783034906,0.24811188272206383,0.8552,0.7261333333333334,0.8794666666666667,0.9314666666666667,0.057640368417209306,516.6922068001547,0.10113845075817623,0.012812442530382946
stream,0.1,qarca_quality_only,375,0.26454002413094585,0.15866097669942425,0.2651733333333333,0.10160000000000001,0.2736,0.4154666666666667,0.2715400873156357,516.1481246394261,0.10113845075817623,0.008193217605998308
stream,0.1,qarca_structural_only,375,0.2296610155639241,0.25747190120178276,0.23626666666666665,0.08,0.2613333333333333,0.4053333333333333,0.35204059334475385,516.0087631465557,0.10113845075817623,0.013295791806278214
stream,0.3,baro,375,0.51067287958453,0.31249479973641864,0.5717866666666667,0.3352,0.5896,0.7621333333333333,0.09317695888108624,317.5531290664803,0.300618043692961,0.01613716206874095
stream,0.3,median_shift,375,0.5151992065736928,0.32162224267597733,0.5907733333333333,0.3208,0.6434666666666667,0.7482666666666667,0.08842501998511794,87.41091058688859,0.300618043692961,0.016608501195385875
stream,0.3,nsigma,375,0.7330930053080649,0.2667790974016146,0.8136000000000001,0.5834666666666667,0.8557333333333332,0.9431999999999999,0.04683734300400558,269.3814490669252,0.300618043692961,0.013776413351369329
stream,0.3,qarca,375,0.8581595971424117,0.22234768643518688,0.8978133333333334,0.7832,0.9218666666666666,0.9648,0.03195390590462093,448.2498357594789,0.300618043692961,0.011481985155083033
stream,0.3,qarca_no_incident_train,375,0.8609924993491376,0.22341490793349636,0.8996266666666667,0.7877333333333333,0.9218666666666666,0.9650666666666666,0.03279350739483011,447.8764829855567,0.300618043692961,0.011537096236278596
stream,0.3,qarca_no_quality,375,0.8578517826322483,0.21771004337680738,0.8933333333333333,0.7874666666666666,0.912,0.9528,0.03774491210873185,447.6953964528628,0.300618043692961,0.01124249829733959
stream,0.3,qarca_no_quality_original,375,0.8239663707028344,0.23485266081259373,0.8703466666666666,0.7343999999999999,0.8941333333333333,0.9496000000000001,0.04355196339316219,447.67427914609823,0.300618043692961,0.012127739255195663
stream,0.3,qarca_original_train,375,0.722888338979225,0.2504196289968683,0.7640533333333333,0.6136,0.7933333333333333,0.8543999999999999,0.10387275498177123,447.93364479932933,0.300618043692961,0.01293161403557748
stream,0.3,qarca_quality_only,375,0.25805625378191405,0.13028211023054656,0.25872,0.08773333333333333,0.2608,0.4274666666666667,0.2529880928560371,447.3623287196271,0.300618043692961,0.006727739243088877
stream,0.3,qarca_structural_only,375,0.2296610155639241,0.25747190120178276,0.23626666666666665,0.08,0.2613333333333333,0.4053333333333333,0.35204059334475385,447.2225633597778,0.300618043692961,0.013295791806278214
stream,0.5,baro,375,0.4912124783535758,0.26195276187057054,0.5544,0.30933333333333335,0.5813333333333334,0.7376,0.11188088954091906,264.73193386695345,0.4985474069441284,0.013527182456236759
stream,0.5,median_shift,375,0.5186208265136699,0.28472150539837154,0.58496,0.33466666666666667,0.6290666666666667,0.7408,0.1043127107213516,73.12737381320136,0.4985474069441284,0.014702955316199976
stream,0.5,nsigma,375,0.6953207829417003,0.22712689176026288,0.76784,0.5458666666666666,0.8069333333333334,0.8962666666666668,0.07281353659584414,230.74222589279526,0.4985474069441284,0.011728782256844704
stream,0.5,qarca,375,0.8213630706687409,0.19769835688154017,0.8634133333333334,0.7346666666666667,0.884,0.9410666666666666,0.04928412097634243,388.4498249876934,0.4985474069441284,0.01020909925033034
stream,0.5,qarca_no_incident_train,375,0.8229906556728526,0.20048270290863995,0.8639466666666668,0.7376,0.8888,0.9365333333333333,0.050809496348381826,388.05986741433543,0.4985474069441284,0.010352882260904157
stream,0.5,qarca_no_quality,375,0.8163441357867525,0.20000089058332296,0.8506666666666667,0.736,0.8744,0.9146666666666666,0.05543100678340187,387.89676490716323,0.4985474069441284,0.010328001579411489
stream,0.5,qarca_no_quality_original,375,0.7640709594371159,0.20271473484292996,0.8117866666666667,0.6581333333333333,0.8437333333333332,0.9032,0.06792923348447716,387.8657678136136,0.4985474069441284,0.010468143894366936
stream,0.5,qarca_original_train,375,0.6292630549362925,0.2504730016335738,0.66528,0.5048,0.6816,0.7909333333333334,0.1432978975510599,388.12713048012614,0.4985474069441284,0.012934370186685525
stream,0.5,qarca_quality_only,375,0.25313665258239626,0.11572024510848522,0.25994666666666666,0.08,0.26053333333333334,0.44106666666666666,0.2556964610368119,387.5621097077771,0.4985474069441284,0.005975767761656047
stream,0.5,qarca_structural_only,375,0.2296610155639241,0.25747190120178276,0.23626666666666665,0.08,0.2613333333333333,0.4053333333333333,0.35204059334475385,387.4121614137975,0.4985474069441284,0.013295791806278214
