system,case_id,method,mechanism,auc
OB,OB/adservice_disk/4,qarca_quality_only,point,0.96
OB,OB/adservice_disk/4,qarca_structural_only,point,1.0
OB,OB/adservice_disk/5,baro,point,1.0
OB,OB/adservice_disk/5,median_shift,point,0.8800000000000001
OB,OB/adservice_disk/5,nsigma,point,1.0
OB,OB/adservice_disk/5,qarca,point,1.0
OB,OB/adservice_disk/5,qarca_no_incident_train,point,1.0
OB,OB/adservice_disk/5,qarca_no_quality,point,1.0
OB,OB/adservice_disk/5,qarca_no_quality_original,point,1.0
OB,OB/adservice_disk/5,qarca_original_train,point,1.0
OB,OB/adservice_disk/5,qarca_quality_only,point,0.9466666666666667
OB,OB/adservice_disk/5,qarca_structural_only,point,1.0
OB,OB/adservice_loss/1,baro,point,1.0
OB,OB/adservice_loss/1,median_shift,point,1.0
OB,OB/adservice_loss/1,nsigma,point,1.0
OB,OB/adservice_loss/1,qarca,point,1.0
OB,OB/adservice_loss/1,qarca_no_incident_train,point,1.0
OB,OB/adservice_loss/1,qarca_no_quality,point,1.0
OB,OB/adservice_loss/1,qarca_no_quality_original,point,1.0
OB,OB/adservice_loss/1,qarca_original_train,point,1.0
OB,OB/adservice_loss/1,qarca_quality_only,point,0.1578690476190476
OB,OB/adservice_loss/1,qarca_structural_only,point,0.1
OB,OB/adservice_loss/2,baro,point,0.25
OB,OB/adservice_loss/2,median_shift,point,0.8900000000000001
OB,OB/adservice_loss/2,nsigma,point,0.37166666666666665
OB,OB/adservice_loss/2,qarca,point,1.0
OB,OB/adservice_loss/2,qarca_no_incident_train,point,1.0
OB,OB/adservice_loss/2,qarca_no_quality,point,1.0
OB,OB/adservice_loss/2,qarca_no_quality_original,point,1.0
OB,OB/adservice_loss/2,qarca_original_train,point,1.0
OB,OB/adservice_loss/2,qarca_quality_only,point,0.15615476190476188
OB,OB/adservice_loss/2,qarca_structural_only,point,0.1
OB,OB/adservice_loss/3,baro,point,1.0
OB,OB/adservice_loss/3,median_shift,point,1.0
OB,OB/adservice_loss/3,nsigma,point,1.0
OB,OB/adservice_loss/3,qarca,point,1.0
OB,OB/adservice_loss/3,qarca_no_incident_train,point,1.0
OB,OB/adservice_loss/3,qarca_no_quality,point,1.0
OB,OB/adservice_loss/3,qarca_no_quality_original,point,1.0
OB,OB/adservice_loss/3,qarca_original_train,point,1.0
OB,OB/adservice_loss/3,qarca_quality_only,point,0.16168253968253968
OB,OB/adservice_loss/3,qarca_structural_only,point,0.1
OB,OB/adservice_loss/4,baro,point,1.0
OB,OB/adservice_loss/4,median_shift,point,0.9299999999999999
OB,OB/adservice_loss/4,nsigma,point,1.0
OB,OB/adservice_loss/4,qarca,point,0.99
OB,OB/adservice_loss/4,qarca_no_incident_train,point,1.0
OB,OB/adservice_loss/4,qarca_no_quality,point,0.605
OB,OB/adservice_loss/4,qarca_no_quality_original,point,1.0
OB,OB/adservice_loss/4,qarca_original_train,point,1.0
OB,OB/adservice_loss/4,qarca_quality_only,point,0.1516190476190476
OB,OB/adservice_loss/4,qarca_structural_only,point,0.1
OB,OB/adservice_loss/5,baro,point,0.5
OB,OB/adservice_loss/5,median_shift,point,0.34333333333333327
OB,OB/adservice_loss/5,nsigma,point,0.3466666666666667
OB,OB/adservice_loss/5,qarca,point,0.99
OB,OB/adservice_loss/5,qarca_no_incident_train,point,1.0
OB,OB/adservice_loss/5,qarca_no_quality,point,0.99
OB,OB/adservice_loss/5,qarca_no_quality_original,point,1.0
OB,OB/adservice_loss/5,qarca_original_train,point,1.0
OB,OB/adservice_loss/5,qarca_quality_only,point,0.1521190476190476
OB,OB/adservice_loss/5,qarca_structural_only,point,0.1
OB,OB/adservice_mem/1,baro,point,1.0
OB,OB/adservice_mem/1,median_shift,point,0.5
OB,OB/adservice_mem/1,nsigma,point,1.0
OB,OB/adservice_mem/1,qarca,point,1.0
OB,OB/adservice_mem/1,qarca_no_incident_train,point,1.0
OB,OB/adservice_mem/1,qarca_no_quality,point,1.0
OB,OB/adservice_mem/1,qarca_no_quality_original,point,1.0
OB,OB/adservice_mem/1,qarca_original_train,point,1.0
OB,OB/adservice_mem/1,qarca_quality_only,point,0.24030555555555555
OB,OB/adservice_mem/1,qarca_structural_only,point,0.1
OB,OB/adservice_mem/2,baro,point,1.0
