system,mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
OB,incident,0.5,qarca,125,0.8176971428571428,0.285247006161634,0.8787200000000001,0.7112,0.9112,0.98,0.05079999999999999,53.009494240116325,0.5000001190736444,0.0255132678462286
OB,incident,0.5,qarca_no_incident_train,125,0.4648853968253968,0.2860519257553322,0.52,0.2632,0.5464,0.7096,0.2372310708898944,52.757090400578456,0.5000001190736444,0.025585262043345828
OB,incident,0.5,qarca_no_quality,125,0.41102666666666665,0.2562320027183117,0.46768,0.1992,0.4864,0.6872,0.2613493212669683,52.587998720258476,0.5000001190736444,0.022918087043562234
OB,incident,0.5,qarca_no_quality_original,125,0.374153189033189,0.25826090980327265,0.4104,0.176,0.428,0.6152000000000001,0.30964524886877826,52.58826768044382,0.5000001190736444,0.02309955801004238
OB,incident,0.5,qarca_original_train,125,0.0926574492174492,0.01889317178650503,0.0032000000000000006,0.0,0.0,0.0128,0.8426926093514329,52.80296448017471,0.5000001190736444,0.0016898566570082557
OB,incident,0.5,qarca_quality_only,125,0.8484819047619048,0.25574231844388734,0.90624,0.752,0.9456,0.9872000000000001,0.03919999999999999,52.37390087991953,0.5000001190736444,0.02287428835055721
OB,incident,0.5,qarca_structural_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,52.24403960010968,0.5000001190736444,0.01626035484806362
OB,none,0.0,baro,125,0.8514666666666667,0.26767296689113207,0.9056000000000001,0.752,0.928,0.984,0.03933333333333333,78.0027591958642,0.0,0.02394139798830487
OB,none,0.0,median_shift,125,0.7170666666666666,0.30652597286854955,0.8336,0.52,0.904,0.984,0.06928205128205127,13.59522000234574,0.0,0.027416516488133317
OB,none,0.0,nsigma,125,0.8541333333333333,0.27348192918618563,0.9007999999999999,0.768,0.936,0.976,0.041333333333333326,67.79205360077322,0.0,0.02446096737112379
OB,none,0.0,qarca,125,0.8894666666666667,0.24656725692269027,0.9248,0.824,0.928,0.992,0.03133333333333333,56.76046560239047,0.0,0.02205364590019164
OB,none,0.0,qarca_no_incident_train,125,0.8890666666666667,0.24765118839026623,0.9232,0.824,0.928,0.992,0.031999999999999994,54.94022400258109,0.0,0.02215059567796968
OB,none,0.0,qarca_no_quality,125,0.8810666666666667,0.2511206424428941,0.9232,0.808,0.936,1.0,0.031999999999999994,54.765116799622774,0.0,0.0224609130822292
OB,none,0.0,qarca_no_quality_original,125,0.8894666666666667,0.24656725692269027,0.9248,0.824,0.928,0.992,0.03133333333333333,54.75028719799593,0.0,0.02205364590019164
OB,none,0.0,qarca_original_train,125,0.8890666666666667,0.2476511883902662,0.9232,0.824,0.928,0.992,0.031999999999999994,54.979494403116405,0.0,0.022150595677969676
