system,fault,mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
OB,cpu,stream,0.1,qarca_original_train,25,0.7545978465978466,0.1466219772569817,0.7728,0.672,0.7959999999999999,0.8320000000000001,0.1414313725490196,44.60619000182487,0.10148859543817525,0.02932439545139634
OB,cpu,stream,0.1,qarca_quality_only,25,0.24813376623376623,0.08091572338547394,0.2368,0.08,0.284,0.316,0.5008823529411764,44.13158760033548,0.10148859543817525,0.016183144677094786
OB,cpu,stream,0.1,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,44.042820401489735,0.10148859543817525,0.0
OB,cpu,stream,0.3,baro,25,0.8077489621489622,0.16389703456024904,0.852,0.708,0.884,0.92,0.07933333333333333,48.94365319935605,0.3056422569027611,0.03277940691204981
OB,cpu,stream,0.3,median_shift,25,0.7630633921633921,0.20401971314735834,0.8448,0.6080000000000001,0.912,0.9159999999999999,0.09266666666666666,9.200173201505095,0.3056422569027611,0.040803942629471665
OB,cpu,stream,0.3,nsigma,25,0.7904016317016317,0.18009041754870392,0.8448,0.676,0.884,0.92,0.08366666666666665,41.430680801393464,0.3056422569027611,0.036018083509740784
OB,cpu,stream,0.3,qarca,25,0.87502673992674,0.14276172814676025,0.9168000000000001,0.7959999999999999,0.9359999999999999,0.972,0.03880392156862745,42.333928398555145,0.3056422569027611,0.02855234562935205
OB,cpu,stream,0.3,qarca_no_incident_train,25,0.8818415584415584,0.14995384716594412,0.9104000000000001,0.816,0.9279999999999999,0.9520000000000001,0.044333333333333336,42.05429719854146,0.3056422569027611,0.029990769433188826
OB,cpu,stream,0.3,qarca_no_quality,25,0.8725873015873016,0.13259896883566324,0.8952,0.812,0.9159999999999999,0.9279999999999999,0.058803921568627446,41.901939999777824,0.3056422569027611,0.02651979376713265
OB,cpu,stream,0.3,qarca_no_quality_original,25,0.8549307359307359,0.14147221918837974,0.884,0.784,0.912,0.92,0.07180392156862744,41.88262480054982,0.3056422569027611,0.02829444383767595
OB,cpu,stream,0.3,qarca_original_train,25,0.5682784770784771,0.16948454623915957,0.5912,0.44,0.608,0.7040000000000001,0.24262745098039215,42.12973399576731,0.3056422569027611,0.03389690924783191
OB,cpu,stream,0.3,qarca_quality_only,25,0.2544285603285603,0.06135091498459802,0.24080000000000001,0.084,0.23600000000000002,0.41200000000000003,0.449078431372549,41.64808319718577,0.3056422569027611,0.012270182996919603
OB,cpu,stream,0.3,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,41.53479399951175,0.3056422569027611,0.0
OB,cpu,stream,0.5,baro,25,0.7410826506826507,0.14712730356910517,0.7704000000000001,0.644,0.7879999999999999,0.8440000000000001,0.14335294117647057,40.568427603226155,0.490204081632653,0.029425460713821034
OB,cpu,stream,0.5,median_shift,25,0.6885731268731269,0.12363842045754939,0.736,0.552,0.78,0.8,0.17188235294117646,7.7107291999273,0.490204081632653,0.024727684091509876
OB,cpu,stream,0.5,nsigma,25,0.7194985236985236,0.1505118167245396,0.7648,0.596,0.8,0.8440000000000001,0.14468627450980392,34.56658880179748,0.490204081632653,0.030102363344907918
OB,cpu,stream,0.5,qarca,25,0.7770547230547231,0.11754340369506502,0.8192,0.684,0.828,0.9159999999999999,0.09913725490196076,38.99844160070643,0.490204081632653,0.023508680739013004
